,Company_Name,Location,Industry,Investor,Amount,Funding_Stage,Year
296,Public,Delhi,Social Media,"Lee Fixel's Addition, SIG Global, Tanglin Venture Partners",30000000.0,,2020
297,Legal Salah,Kolkata,LegalTech,I2I Capitals,1000000.0,Seed,2020
298,FanPlay,Delhi,Gaming,"Core91 Fund, Anupam Mittal",,Seed,2020
299,ECOSTP,Bangalore,Sanitation solutions,Terwilliger Centre,19000000.0,,2020
302,Reliance Retail Ventures,Mumbai,E-commerce,"General Atlantic, Kohlberg Kravis Roberts",800000000.0,,2020
304,AgroWave,Gurugram,AgriTech,Sekhar Puli,500000.0,,2020
305,Sapio Analytics,Mumbai,Tech company,,150000.0,,2020
307,Avanse Financial Services,Mumbai,FinTech,International Finance Corporation,15000000.0,,2020
308,Industry Buying,Delhi,E-commerce,"BlackSoil, BEENEXT",15000000.0,,2020
309,Hopscotch,Mumbai,E-commerce,"Marc Lore, Rise Capital",25000000.0,,2020
310,Pristyn Care,Gurugram,HealthCare,"Sequoia Capital India, Hummingbird Ventures",11000000.0,,2020
311,WoodenStreet,Rajastan,Home Design,"IAN Fund, Rajasthan Venture Capital Fund",1000000.0,,2020
312,ACKO,Mumbai,InsureTech,"RPS Ventures, Intact Ventures",60000000.0,,2020
313,Farmers Fresh Zone,Kochi,AgriTech,"Artha India Ventures, Nagaraja Prakasam",470000.0,,2020
314,Invento,Bangalore,AI Startup,"Chiripal Group, Ratish Kumar Nair",,,2020
315,Infurnia,Bangalore,Tech Startup,"Pallav Nadhani, Idein Ventures",240000.0,,2020
316,AnalytIQSports's SuperCric,Bangalore,Entertainment,,,,2020
318,GenieTalk,Indore,Tech company,,750000.0,,2020
319,Classplus,Noida,EdTech,"Spiral Ventures, Surge",10000000.0,,2020
320,Mobile Premier League,Bangalore,Entertainment,"Sequoia Capital India, Times Internet",74000000.0,,2020
321,Fourth Partner Energy,Hyderabad,Solar solution,"responsAbility, Grameen Impact India (GIII)",16000000.0,,2020
322,Flipkart,Bangalore,E-commerce,"Tencent Holdings, Walmart",62000000.0,,2020
323,Vivriti Capital,Chennai,FinTech,"Aspada, Creation Investments Capital Management, LLC",1000000.0,,2020
324,InsuranceDekho,Ludhiana,FinTech,GirnarSoft,20000000.0,,2020
325,BestDoc,Kochi,HealthCare,,2100000.0,,2020
326,Byju’s,Bangalore,EdTech,"Owl Ventures, Tiger Global Management",500000000.0,,2020
327,Melorra,Bangalore,Jewellery startup,"Jamshed Jeejeebhoy, Symphony International Holdings",12500000.0,,2020
328,Reliance,Mumbai,Multinational conglomerate company,"Facebook, Google, KKR, Silver Lake",2200000000.0,,2020
